invoice_id,customer_id,billing_date,region,customer_segment,product,expected_amount,billed_amount,leakage_amount,billing_variance_pct,discount_pct,payment_status,amount_paid,overdue_amount,days_overdue,issue_type
INV-1001,CUST-201,2026-01-01,North,SMB,Basic Plan,432.72,440.91,-8.19,1.89,20,Paid,440.91,0.0,0,None
INV-1002,CUST-202,2026-01-03,West,SMB,Basic Plan,434.85,438.4,-3.55,0.82,20,Paid,438.4,0.0,0,None
INV-1003,CUST-203,2026-01-05,West,SMB,Pro Plan,1191.98,1144.92,47.06,-3.95,5,Pending,127.26,1017.66,5,None
INV-1004,CUST-204,2026-01-07,South,Enterprise,Pro Plan,851.55,824.08,27.47,-3.23,10,Paid,824.08,0.0,0,None
INV-1005,CUST-205,2026-01-09,North,Mid-Market,Pro Plan,1269.73,1257.39,12.34,-0.97,20,Paid,1257.39,0.0,0,None
INV-1006,CUST-206,2026-01-11,East,Mid-Market,Enterprise Plan,2793.32,2732.51,60.81,-2.18,10,Overdue,591.92,2140.59,44,None
INV-1007,CUST-207,2026-01-13,West,SMB,Enterprise Plan,3303.73,3269.42,34.31,-1.04,5,Pending,847.48,2421.94,10,None
INV-1008,CUST-208,2026-01-15,South,Mid-Market,Basic Plan,486.51,477.56,8.95,-1.84,20,Paid,477.56,0.0,0,None
INV-1009,CUST-209,2026-01-17,East,Enterprise,Enterprise Plan,3086.48,2970.95,115.53,-3.74,10,Paid,2970.95,0.0,0,None
INV-1010,CUST-210,2026-01-19,North,SMB,Usage Add-on,901.73,634.36,267.37,-29.65,15,Paid,634.36,0.0,0,Usage Mismatch
INV-1011,CUST-211,2026-01-21,West,SMB,Basic Plan,550.12,551.84,-1.72,0.31,20,Paid,551.84,0.0,0,None
INV-1012,CUST-212,2026-01-23,West,SMB,Usage Add-on,643.42,643.09,0.33,-0.05,0,Overdue,100.88,542.21,34,None
INV-1013,CUST-213,2026-01-25,West,Mid-Market,Pro Plan,1090.55,1087.76,2.79,-0.26,10,Overdue,185.0,902.76,16,None
INV-1014,CUST-214,2026-01-27,North,Mid-Market,Pro Plan,934.24,944.78,-10.54,1.13,0,Paid,944.78,0.0,0,None
INV-1015,CUST-215,2026-01-29,South,Mid-Market,Usage Add-on,901.55,1104.2,-202.65,22.48,20,Overdue,82.39,1021.81,95,Pricing Error
INV-1016,CUST-216,2026-01-31,South,SMB,Enterprise Plan,3583.01,3662.88,-79.87,2.23,20,Overdue,296.84,3366.04,91,None
INV-1017,CUST-217,2026-02-02,North,SMB,Pro Plan,1275.53,1306.83,-31.3,2.45,5,Paid,1306.83,0.0,0,None
INV-1018,CUST-218,2026-02-04,North,SMB,Pro Plan,840.38,857.9,-17.52,2.08,5,Paid,857.9,0.0,0,None
INV-1019,CUST-219,2026-02-06,West,Enterprise,Basic Plan,501.23,505.5,-4.27,0.85,5,Overdue,90.1,415.4,40,None
INV-1020,CUST-220,2026-02-08,West,Enterprise,Enterprise Plan,3420.96,2524.63,896.33,-26.2,5,Paid,2524.63,0.0,0,Pricing Error
INV-1021,CUST-221,2026-02-10,East,SMB,Pro Plan,1087.01,1044.15,42.86,-3.94,0,Paid,1044.15,0.0,0,None
INV-1022,CUST-222,2026-02-12,North,Enterprise,Basic Plan,436.05,283.58,152.47,-34.97,40,Paid,283.58,0.0,0,Duplicate Credit
INV-1023,CUST-223,2026-02-14,West,SMB,Pro Plan,1000.85,968.37,32.48,-3.25,15,Paid,968.37,0.0,0,None
INV-1024,CUST-224,2026-02-16,West,Mid-Market,Enterprise Plan,3797.38,3944.46,-147.08,3.87,0,Paid,3944.46,0.0,0,None
INV-1025,CUST-225,2026-02-18,East,Enterprise,Basic Plan,425.61,426.85,-1.24,0.29,5,Paid,426.85,0.0,0,None
INV-1026,CUST-226,2026-02-20,East,Mid-Market,Usage Add-on,621.38,636.69,-15.31,2.46,20,Paid,636.69,0.0,0,None
INV-1027,CUST-227,2026-02-22,North,Enterprise,Usage Add-on,892.04,868.23,23.81,-2.67,15,Paid,868.23,0.0,0,None
INV-1028,CUST-228,2026-02-24,West,Enterprise,Basic Plan,382.98,379.62,3.36,-0.88,15,Paid,379.62,0.0,0,None
INV-1029,CUST-229,2026-02-26,West,SMB,Basic Plan,600.46,604.26,-3.8,0.63,20,Paid,604.26,0.0,0,None
INV-1030,CUST-230,2026-02-28,East,SMB,Pro Plan,1046.35,831.81,214.54,-20.5,0,Overdue,177.04,654.77,25,Pricing Error
INV-1031,CUST-231,2026-03-02,North,Mid-Market,Enterprise Plan,3096.33,3002.17,94.16,-3.04,20,Paid,3002.17,0.0,0,None
INV-1032,CUST-232,2026-03-04,North,Mid-Market,Pro Plan,1084.74,1086.72,-1.98,0.18,10,Paid,1086.72,0.0,0,None
INV-1033,CUST-233,2026-03-06,East,SMB,Pro Plan,1126.55,1108.52,18.03,-1.6,10,Overdue,2.58,1105.94,24,None
INV-1034,CUST-234,2026-03-08,North,SMB,Basic Plan,442.17,457.5,-15.33,3.47,0,Overdue,32.6,424.9,62,None
INV-1035,CUST-235,2026-03-10,West,Enterprise,Enterprise Plan,3698.68,3842.85,-144.17,3.9,20,Paid,3842.85,0.0,0,None
